begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
03:24.5,03:28.1,7,,,,Wife_W01_WW,Wife_W01_WW,如果我出差出去了从晚上十点开始打电话,Rúguǒ wǒ chūchāi Chūqùle cóng wǎnshàng shí diǎn kāishǐ dǎ diànhuà,If I'm on a business trip he'll start calling from 10pm,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,从到,,,monoglossic,,
03:28.1,03:30.3,7,,,,,Wife_W01_WW,一直会有时候会打到天亮,yīzhí huì yǒu shíhòu huì dǎ dào tiānliàng,Sometimes he will continue calling me until dawn,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,一直,up:isolated,到天亮,monoglossic,,
03:30.3,03:44.9,7,,,,voiceover,,voiceover,,,,,,,,,,,,,,,,,,,,,,,,
03:44.9,03:46.8,8,,,,Wife_W01_WW,Wife_W01_WW,每一次打都是二三十个未接,Měi yīcì dǎ dōu shì èrsānshí gè wèi jiē,Every time there will be 20 or 30 missed calls,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,每次,up:isolated,二三十个,monoglossic,,
03:46.8,03:48.3,8,,,,,Wife_W01_WW,有一次是四十多个,yǒu yīcì shì sìshí duō gè,Once it was more than forty,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,四十,,,monoglossic,,
03:48.3,03:51.9,8,,,,,Wife_W01_WW,打电话就是说你跟谁出去的..你现在在哪里跟谁出去的,dǎ diànhuà jiùshì shuō nǐ gēn shéi chūqù de.. Nǐ xiànzài zài nǎlǐ gēn shéi chūqù de,He calls just to say whom you went out with.. Where are you now who are you going out with,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,说,,,contract:disclaim,就,
03:51.9,03:53.8,8,,,,,Wife_W01_WW,他这样影响我的办事效率,tā zhèyàng yǐngxiǎng wǒ de bànshì xiàolǜ,Such behaviours hinder my efficiency,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,影响,,,monoglossic,,
03:53.8,03:58.6,8,,,,voiceover,,voiceover,,,,,,,,,,,,,,,,,,,,,,,,
03:58.6,04:00.4,9,,,,Husband_W01_AH,Husband_W01_AH,她把我拉黑了,Tā Bǎ wǒ lā hēile,She blacklisted me,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拉黑,,,monoglossic,,
04:00.4,04:01.1,10,,,,Hostess_W01,Hostess_W01,嗯,ń,Mmm,husband,,,,,,,,,,,,,,,,,,,,,
