begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
12:11.4,12:15.7,51,,,,Wife_W02_WW,Wife_W02_WW,[你那天是说]我跟那个对方..我认识的那个男人好不好,nǐ nèitiān shì shuō wǒ gēn nàgè duìfāng.. Wǒ rènshí dì nàgè nánrén hǎobù hǎo ,==On that day you were saying== I got the message from that person.. that man I knew didn't you,antagonist,VoE,信息哪里来,VoE,那个男人,replace with an alternative VE,replace,VoE,No,VoE,antagonist,-ve,judgement,invoke,quotation:other,,你说,,,contract:proclaim,好不好,好不好
12:15.9,12:19.7,52,,,,Husband_W02_AH,Husband_W02_AH,她那个男的实际上在我同学那里..三天两头是开宾馆的,tā nàgè nán de shíjì shang zài wǒ tóngxué nàlǐ.. Sān tiān liǎngtóu shì kāi bīnguǎn de ,In fact that man went to my schoolmate's hotel.. checked in a hotel room very frequently,hostess,,那个男人,VoE,实际上,replace with an alternative VE,replace,VoE,No,VoE,intruder,-ve,judgement,invoke,evoke,,开宾馆,up:isolated,三天两头,contract:proclaim,实际上,
12:19.7,12:21.2,52,,,,,Husband_W02_AH,甚至一天开两三次,shènzhì yītiān kāi liǎng sāncì,He even checks in a hotel room twice or three time in a day,hostess,,,,,,,,,,intruder,-ve,judgement,invoke,evoke,,开宾馆,up:isolated,两三次,contract:disclaim,甚至,
12:21.7,12:27.3,53,,,,Hostess_W02,Hostess_W02,你的意思是..对方也转了你同学这个宾馆的..相关的..信息,Nǐ de yìsi shì.. Duìfāng yě zhuǎnle nǐ tóngxué zhège bīnguǎn de.. Xiāngguān de.. Xìnxī ,What you meant was.. The other guy also posted your schoolmate’s hotel.. message related.. to the hotel,husband,,,,,,,,,,,,,,,,,,,,,
12:27.4,12:28.0,54,,,,Husband_W02_AH,Husband_W02_AH,对,duì ,Correct,hostess,,,,,,,,,,,,,,,,,,,,,
12:28.2,12:32.3,55,,,,Hostess_W02,Hostess_W02,你是同时在他们三个人的朋友圈里都看到了这条信息,nǐ shì tóngshí zài tāmen sān gèrén de péngyǒu quān lǐ dōu kàn dàole zhè tiáo xìnxī ,You saw this message in the Moments of all three of them at the same time,husband,,,,,,,,,,,,,,,,,,,,,
12:32.3,12:33.0,56,,,,Husband_W02_AH,Husband_W02_AH,对,duì ,Correct,hostess,,,,,,,,,,,,,,,,,,,,,
12:33.1,12:35.5,57,,,,Hostess_W02,Hostess_W02,因为你的妻子跟你同学是互不认识的,yīnwèi nǐ de qī zǐ gēn nǐ tóngxué shì hù bù rènshí de  zhuǎnfā de shì.. Láizì nàgè nán de péngyǒu quān lǐ de duì,Because your wife and your schoolmates didn’t know each other,husband,,,,,,,,,,,,,,,,,,,,,
12:35.6,12:36.6,58,,,,Husband_W02_AH,Husband_W02_AH,对..互不认识,duì.. Hù bù rènshí ,Correct..they didn't know each other,hostess,,,,,,,,,,,,,,,,,,,,,
12:36.3,12:40.0,59,,,,Hostess_W02,Hostess_W02,所以只有..你的妻子...跟那个男的...又联系了,suǒyǐ zhǐyǒu.. Nǐ de qīzi... Gēn nàgè nán de... Yòu liánxìle ,So the only reason was..your wife...and that man...reconnected,husband,,,,,,,,,,,,,,,,,,,,,
